site_hash,lat,long
11371,-37.748858,144.854369
62230,-37.748384,144.858951
60927,-37.786136,144.784428
62337,-37.773182,144.758667
62337,-37.773034,144.758073
86089,-37.749587,144.759076
64028,-37.76552,144.815072
950,-37.794157,144.840264
23254,-37.585777,144.724511
23254,-37.583295,144.725616
66604,-37.673709,144.942995
51421,-37.584732,144.923362
51421,-37.58458,144.928225
69353,-37.761786,144.800471
54492,-37.687739,144.759936
28270,-37.7058,144.977871
92332,-37.703023,144.980919
29228,-37.694981,144.983335
83718,-37.75,144.790556
28618,-37.767485,144.779905
29228,-37.69654,144.984055
26678,-37.818534,144.581843
54492,-37.68648,144.76123
54492,-37.686817,144.761809
18669,-37.80408,144.76054
23219,-37.650595,144.972329
31655,-37.653239,144.868158
30263,-37.62296785,144.9604646
23254,-37.584863,144.724415
23254,-37.583312,144.725632
15902,-37.529719,144.955601
15902,-37.528653,144.956137
3999,-37.596603,144.912079
92332,-37.702919,144.980718
92332,-37.702958,144.981327
28270,-37.705648,144.978022
3999,-37.596982,144.911908
11371,-37.748532,144.854335
