transect_number,size,date,orientation,assistant,management,burn_season,years_since,biomass_reduction_year,management_unit
1,0.43,2014-10-27,132 SE,HP,Fire_WC,summer,0.75,2014,1
2,0.5,2014-10-27,119 SE,HP,Fire_WC,summer,0.75,2014,2
3,3.34,2014-10-27,230 SW,HP,WC,autumn,1.5,2013,3
4,0.465,2014-10-28,290 W,HP,WC,autumn,2.5,2012,4
5,0.465,2014-10-28,209 SW,HP,WC,autumn,2.5,2012,5
6,1.73,2014-10-28,195 S,HP,WC,autumn,3.5,2011,6
7,0.65,2014-10-29,163 S,VH,WC,spring,1.0,2013,7
8,0.289,2014-10-29,104 E,VH,SowingForbs_WC,spring,1.0,2013,8
9,0.614,2014-11-03,11 N,EP,Fire_WC,autumn,0.75,2014,9
10,0.782,2014-11-03,356 N,EP,Fire_WC,autumn,0.25,2014,10
11,1.14,2014-11-04,200 S,AJ,Fire_WC,autumn,0.5,2014,11
12,1.184,2014-11-04,242 SW,AJ,Fire_WC,autumn,0.5,2014,12
13,2.66,2014-11-05,134 SE,ZS,Fire_WC,summer,0.75,2014,13
14,0.77,2014-11-12,178 S,RG,Fire_WC,autumn,0.5,2014,14
15,0.78,2014-11-12,351 NW,RG,Fire_WC,autumn,0.5,2014,15
16,0.055,2014-11-13,329 NW,LR,Fire_WC,autumn,0.5,2014,16
17,0.179,2014-11-13,190 SW,LR,Slashing_WC,autumn,1.0,2014,17
18,1.04,2014-11-13,10 N,LR,Fire_WC,autumn,0.5,2014,18
19,3.0,2014-11-14,92 E,SC,Fire_WC,autumn,0.5,2014,19
20,0.83,2014-11-14,250W,SC,SowingForbs_WC,autumn,1.5,2013,20
21,0.768,2014-11-14,185 S,SC,SowingForbs_WC,autumn,1.5,2013,21
22,0.227,2014-11-17,198 S,RG,SowingForbs_WC,autumn,1.5,2013,22
23,0.64,2014-11-18,120 SE,FR,WC,spring,1.0,2013,23
24,3.3,2014-11-18,130 SE,FR,Fire_WC,autumn,0.5,2014,24
25,0.953,2014-11-18,9 NE,FR,WC,spring,1.0,2013,25
26,10.8,2014-11-20,239 SW,GR,Fire_WC,autumn,0.5,2014,26
27,15.0,2014-11-20,265 W,GR,No_Management,autumn,8.5,2006,27
28,59.9,2014-11-21,85 N,ZC,Fire_WC,autumn,0.5,2014,28
29,0.226,2014-12-06,15 S,LD,WC,autumn,1.5,2013,29
30,0.664,2014-12-06,13 N,LD,WC,autumn,2.5,2012,30
31,3.58,2014-12-12,91 W,DG+PG,Fire_WC,autumn,0.5,2014,31
32,3.26,2014-12-12,92 W,DG+PG,WC,autumn,3.5,2011,32
33,0.589,2014-12-17,11 NE,TS,WC,autumn,5.5,2009,33
34,0.415,2014-12-16,25 NE,SC,Fire_WC,autumn,2.5,2014,34
35,0.638,2014-12-16,345 NW,SC,WC,spring,0.5,2012,35
36,0.043,2014-12-16,329 NW,SC,WC,winter,0.5,2012,36
37,1.15,2014-12-17,10 NE,SC,Fire_WC,autumn,0.5,2014,37
38,0.28,2014-12-19,15 NE,SC,WC,summer,1.75,2013,38
